Date,4_Week_T_Bill_Rate,Daily_rf
2020-03-31,0.04,1.1111290127985285e-06
2020-04-01,0.03,8.333434029506037e-07
2020-04-02,0.09,2.5000906294092573e-06
2020-04-03,0.09,2.5000906294092573e-06
2020-04-06,0.09,2.5000906294092573e-06
2020-04-07,0.09,2.5000906294092573e-06
2020-04-08,0.14,3.889108195265223e-06
2020-04-09,0.2,5.556003133566634e-06
2020-04-10,0.2,5.556003133566634e-06
2020-04-13,0.16,4.444730888453208e-06
2020-04-14,0.17,4.722545592361627e-06
2020-04-15,0.13,3.611300205985657e-06
2020-04-16,0.14,3.889108195265223e-06
2020-04-17,0.12,3.333494454693664e-06
2020-04-20,0.1,2.777889666294442e-06
2020-04-21,0.08,2.222293830289601e-06
2020-04-22,0.09,2.5000906294092573e-06
2020-04-23,0.09,2.5000906294092573e-06
2020-04-24,0.1,2.777889666294442e-06
2020-04-27,0.09,2.5000906294092573e-06
2020-04-28,0.08,2.222293830289601e-06
2020-04-29,0.1,2.777889666294442e-06
2020-04-30,0.1,2.777889666294442e-06
2020-05-01,0.1,2.777889666294442e-06
2020-05-04,0.1,2.777889666294442e-06
2020-05-05,0.09,2.5000906294092573e-06
2020-05-06,0.08,2.222293830289601e-06
2020-05-07,0.1,2.777889666294442e-06
2020-05-08,0.1,2.777889666294442e-06
2020-05-11,0.09,2.5000906294092573e-06
2020-05-12,0.1,2.777889666294442e-06
2020-05-13,0.1,2.777889666294442e-06
2020-05-14,0.09,2.5000906294092573e-06
2020-05-15,0.09,2.5000906294092573e-06
2020-05-18,0.1,2.777889666294442e-06
2020-05-19,0.09,2.5000906294092573e-06
2020-05-20,0.08,2.222293830289601e-06
2020-05-21,0.09,2.5000906294092573e-06
2020-05-22,0.09,2.5000906294092573e-06
2020-05-25,0.09,2.5000906294092573e-06
2020-05-26,0.1,2.777889666294442e-06
2020-05-27,0.1,2.777889666294442e-06
2020-05-28,0.14,3.889108195265223e-06
2020-05-29,0.13,3.611300205985657e-06
2020-06-01,0.12,3.333494454693664e-06
2020-06-02,0.12,3.333494454693664e-06
2020-06-03,0.12,3.333494454693664e-06
2020-06-04,0.13,3.611300205985657e-06
2020-06-05,0.13,3.611300205985657e-06
2020-06-08,0.15,4.1669184227544065e-06
2020-06-09,0.14,3.889108195265223e-06
2020-06-10,0.13,3.611300205985657e-06
2020-06-11,0.14,3.889108195265223e-06
2020-06-12,0.14,3.889108195265223e-06
2020-06-15,0.15,4.1669184227544065e-06
2020-06-16,0.14,3.889108195265223e-06
2020-06-17,0.13,3.611300205985657e-06
2020-06-18,0.13,3.611300205985657e-06
2020-06-19,0.13,3.611300205985657e-06
2020-06-22,0.14,3.889108195265223e-06
2020-06-23,0.12,3.333494454693664e-06
2020-06-24,0.11,3.055690941389244e-06
2020-06-25,0.13,3.611300205985657e-06
2020-06-26,0.12,3.333494454693664e-06
2020-06-29,0.11,3.055690941389244e-06
2020-06-30,0.13,3.611300205985657e-06
2020-07-01,0.12,3.333494454693664e-06
2020-07-02,0.13,3.611300205985657e-06
2020-07-03,0.13,3.611300205985657e-06
2020-07-06,0.12,3.333494454693664e-06
2020-07-07,0.12,3.333494454693664e-06
2020-07-08,0.11,3.055690941389244e-06
2020-07-09,0.11,3.055690941389244e-06
2020-07-10,0.1,2.777889666294442e-06
2020-07-13,0.11,3.055690941389244e-06
2020-07-14,0.11,3.055690941389244e-06
2020-07-15,0.12,3.333494454693664e-06
2020-07-16,0.12,3.333494454693664e-06
2020-07-17,0.11,3.055690941389244e-06
